,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,QC
252,7703,7866,0.03135750000000001,0.02918499999999999,0.15326499999999998,0.109155,0.06240499999999999,96,36888,9480,228,153,9819,124,273,6248,264,21824,0,1637859658132,-95.19312850137773,39.04356643710927,0.9997,0.47040000000000004,0,0
253,7592,7657,0.022364999999999996,0.018762499999999988,0.146225,0.07068249999999998,0.03776499999999999,96,37863,9422,458,177,9826,124,227,6614,306,21824,0,1639242058118,-95.193458197279,39.04301963967769,0.9996,0.4318,0,0
254,7702,7829,0.023877499999999996,0.022639999999999993,0.1396525,0.08226,0.046619999999999995,96,37862,9422,459,177,9821,124,227,6610,306,21824,0,1639242058118,-95.19311178851369,39.04302615670592,0.9996,0.4318,0,0
255,7614,7694,0.025032499999999985,0.01983499999999999,0.16913250000000002,0.08094000000000001,0.04111999999999999,96,37827,9422,460,177,9831,124,227,6604,306,21824,0,1639242058118,-95.19346655497225,39.04328977982397,0.9996,0.4318,0,0
256,7984,8029,0.03089,0.032072500000000004,0.1492775,0.11187750000000002,0.06416499999999997,96,37855,9422,462,177,9815,124,227,6604,306,21824,0,1639242058118,-95.19312014488959,39.04329629691462,0.9996,0.4318,0,0
257,7687,7748,0.025912500000000005,0.0235475,0.15672999999999998,0.091335,0.04901249999999999,66,37857,9423,463,177,9818,79,221,6607,306,21824,0,1639242058118,-95.1927737346947,39.04330281297735,0.9996,0.4318,0,0
258,7585,7684,0.022694999999999993,0.018707499999999988,0.168995,0.0721675,0.036445000000000005,96,37822,9422,463,177,9832,124,227,6602,306,21824,0,1639242058118,-95.19347491277773,39.04355991995622,0.9996,0.4318,0,0
259,7755,7848,0.028607500000000008,0.027755000000000002,0.14988249999999997,0.10137249999999998,0.05830750000000001,96,37848,9422,464,177,9819,124,227,6604,306,21824,0,1639242058118,-95.19312850137773,39.04356643710927,0.9996,0.4318,0,0
260,7598,7640,0.019752500000000006,0.01837749999999999,0.15257749999999998,0.06537500000000002,0.03729750000000001,66,35350,9606,52,104,9847,124,406,5704,170,21824,0,1643389245220,-95.193458197279,39.04301963967769,0.9997,0.48300000000000004,0,0
261,7715,7728,0.02285999999999999,0.02296999999999999,0.133135,0.08132499999999998,0.050634999999999986,96,35339,9606,55,104,9834,124,404,5693,170,21824,0,1643389245220,-95.19311178851369,39.04302615670592,0.9997,0.48300000000000004,0,0
262,7657,7743,0.022997500000000004,0.022007499999999985,0.1563175,0.0747525,0.043182499999999985,96,35331,9606,54,104,9845,124,405,5696,170,21824,0,1643389245220,-95.19346655497225,39.04328977982397,0.9997,0.48300000000000004,0,0
263,7839,7937,0.030752499999999988,0.03220999999999999,0.15211000000000002,0.11842249999999999,0.0719475,96,35324,9606,57,104,9833,124,403,5687,170,21824,0,1643389245220,-95.19312014488959,39.04329629691462,0.9997,0.48300000000000004,0,0
264,7706,7784,0.02302499999999999,0.022804999999999992,0.15469500000000003,0.07953749999999998,0.045217499999999994,96,35295,9606,59,104,9838,79,398,5680,170,21824,0,1643389245220,-95.1927737346947,39.04330281297735,0.9997,0.48300000000000004,0,0
265,7636,7725,0.022419999999999995,0.021732499999999988,0.1573075,0.07087500000000002,0.0414225,96,35328,9606,56,104,9846,124,404,5696,170,21824,0,1643389245220,-95.19347491277773,39.04355991995622,0.9997,0.48300000000000004,0,0
266,7790,7841,0.028304999999999997,0.02979000000000001,0.15191749999999998,0.10371000000000002,0.0628725,96,35323,9606,58,104,9835,124,402,5688,170,21824,0,1643389245220,-95.19312850137773,39.04356643710927,0.9997,0.48300000000000004,0,0
267,7597,7681,0.0204125,0.0189,0.1531825,0.07002249999999999,0.038067500000000004,66,36487,9551,603,122,9849,124,232,6107,204,21824,0,1644771642155,-95.193458197279,39.04301963967769,0.9996,0.5491,0,0
268,7781,7894,0.026132500000000003,0.02772749999999999,0.144905,0.102885,0.059709999999999985,96,36477,9551,604,122,9837,124,232,6096,204,21824,0,1644771642155,-95.19311178851369,39.04302615670592,0.9996,0.5491,0,0
269,7674,7771,0.024042499999999994,0.023739999999999983,0.1581325,0.08355249999999997,0.04681250000000001,96,36454,9551,605,122,9846,124,232,6093,204,21824,0,1644771642155,-95.19346655497225,39.04328977982397,0.9996,0.5491,0,0
270,7812,7915,0.030615000000000003,0.0321825,0.15535500000000002,0.11636000000000002,0.06663999999999998,96,36459,9551,607,122,9836,124,232,6089,204,21824,0,1644771642155,-95.19312014488959,39.04329629691462,0.9996,0.5491,0,0
271,7713,7816,0.025142499999999984,0.025912500000000005,0.1526325,0.091005,0.05107499999999998,96,36448,9552,609,122,9837,79,226,6086,204,21824,0,1644771642155,-95.1927737346947,39.04330281297735,0.9996,0.5491,0,0
272,7673,7740,0.024922499999999986,0.023767499999999997,0.16008499999999998,0.08487250000000002,0.0471975,96,36464,9551,608,122,9847,124,232,6097,204,21824,0,1644771642155,-95.19347491277773,39.04355991995622,0.9996,0.5491,0,0
