,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,partition,ID,PLOT_ID,Date
1,0.016204999999999997,0.018817499999999987,0.0443925,0.0266275,0.2957425,0.14991,0.060067499999999996,96.0,44609.0,6395.0,437.0,1370.0,9856.0,87.0,254.0,9211.0,3006.0,21824.0,0.0,1630947652217.0,-95.19058676690443,39.03983005828359,0.9997,0.7954,0.0,5.0,13,UKFS_047,9/9/2021
2,0.019065,0.020604999999999984,0.042027499999999995,0.025389999999999996,0.28119500000000003,0.14460250000000002,0.058087500000000014,96.0,44571.0,6395.0,438.0,1370.0,9858.0,39.0,250.0,9201.0,3006.0,21824.0,0.0,1630947652217.0,-95.19094150777471,39.04009368995013,0.9997,0.7954,0.0,5.0,13,UKFS_047,9/9/2021
3,0.015545000000000003,0.019202499999999983,0.04629,0.028359999999999996,0.30129750000000005,0.15628999999999998,0.06380750000000002,66.0,44603.0,6400.0,441.0,1368.0,9859.0,39.0,250.0,9211.0,3001.0,21824.0,0.0,1630947652217.0,-95.19024871754084,39.04010670721691,0.9997,0.7954,0.0,5.0,13,UKFS_047,9/9/2021
4,0.0174975,0.01988999999999999,0.04351250000000001,0.025197499999999984,0.3099325,0.1509275,0.06102999999999997,96.0,44549.0,6397.0,441.0,1369.0,9862.0,39.0,250.0,9196.0,3004.0,21824.0,0.0,1630947652217.0,-95.19094985501333,39.04036383068759,0.9997,0.7954,0.0,5.0,13,UKFS_047,9/9/2021
5,0.015710000000000002,0.018405000000000005,0.04414499999999999,0.025637500000000008,0.30941,0.1485625,0.057977500000000015,96.0,44544.0,6398.0,442.0,1369.0,9861.0,39.0,250.0,9194.0,3002.0,21824.0,0.0,1630947652217.0,-95.19060345863528,39.0403703398972,0.9997,0.7954,0.0,5.0,13,UKFS_047,9/9/2021
0,0.03377749999999999,0.04414499999999999,0.066695,0.07092999999999999,0.18497249999999998,0.22539750000000003,0.1465825,224.0,43957.0,9003.0,963.0,346.0,9802.0,86.0,210.0,9034.0,639.0,21824.0,0.0,1630692434831.0,-110.54308824500163,44.95470271654115,0.9998,0.7549,0.512,10.0,14,YELL_050,9/9/2021
1,0.0323475,0.04268749999999999,0.06240499999999999,0.06386249999999999,0.17215750000000002,0.19525750000000003,0.12793749999999998,224.0,43956.0,9002.0,962.0,346.0,9802.0,86.0,210.0,9034.0,639.0,21824.0,0.0,1630692434831.0,-110.54346642891711,44.954974288900274,0.9998,0.7548,0.5126000000000001,10.0,14,YELL_050,9/9/2021
2,0.03146750000000001,0.04194500000000001,0.06303750000000002,0.06449500000000002,0.1800775,0.206835,0.13473000000000002,224.0,43902.0,9002.0,960.0,346.0,9805.0,86.0,210.0,9012.0,639.0,21824.0,0.0,1630692434831.0,-110.54308610202033,44.95497276789753,0.9998,0.7549,0.5122,10.0,14,YELL_050,9/9/2021
3,0.030780000000000002,0.040982500000000005,0.06375249999999999,0.06581500000000001,0.18764000000000003,0.22009,0.14155,224.0,43926.0,9002.0,959.0,346.0,9796.0,88.0,210.0,9015.0,639.0,21824.0,0.0,1630692434831.0,-110.54270577515378,44.95497124562827,0.9998,0.7549,0.5117,10.0,14,YELL_050,9/9/2021
4,0.0295975,0.039580000000000004,0.05676749999999997,0.05597000000000002,0.15750000000000003,0.16646500000000003,0.10816500000000001,224.0,44291.0,9002.0,959.0,346.0,9633.0,80.0,210.0,9036.0,639.0,21824.0,0.0,1630692434831.0,-110.54346428768923,44.95524434025799,0.9998,0.7548,0.5128,10.0,14,YELL_050,9/9/2021
